1980-012-14:17:03.59092 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x83, msgidval=0x1883
1980-012-14:17:03.59092 CFE_MSG_GetMsgId: StreamId[0]=0x08, StreamId[1]=0x83, msgidval=0x0883
1980-012-14:17:03.69101 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x08, msgidval=0x1808
1980-012-14:17:03.69109 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x0C, msgidval=0x180C
1980-012-14:17:03.69125 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x08, msgidval=0x1808
1980-012-14:17:03.69127 CFE_MSG_GetMsgId: StreamId[0]=0x08, StreamId[1]=0x00, msgidval=0x0800
1980-012-14:17:03.69131 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x0C, msgidval=0x180C
1980-012-14:17:03.69133 CFE_MSG_GetMsgId: StreamId[0]=0x08, StreamId[1]=0x04, msgidval=0x0804
1980-012-14:17:03.70417 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x81, msgidval=0x1881
1980-012-14:17:03.70419 CFE_MSG_GetMsgId: StreamId[0]=0x08, StreamId[1]=0x80, msgidval=0x0880
1980-012-14:17:03.81066 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x0B, msgidval=0x180B
1980-012-14:17:03.81070 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x0B, msgidval=0x180B
1980-012-14:17:03.81071 CFE_MSG_GetMsgId: StreamId[0]=0x08, StreamId[1]=0x03, msgidval=0x0803
1980-012-14:17:03.93055 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x0D, msgidval=0x180D
1980-012-14:17:03.93061 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x0D, msgidval=0x180D
1980-012-14:17:03.93062 CFE_MSG_GetMsgId: StreamId[0]=0x08, StreamId[1]=0x05, msgidval=0x0805
1980-012-14:17:04.00062 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x11, msgidval=0x1811
1980-012-14:17:04.00066 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x11, msgidval=0x1811
1980-012-14:17:04.00068 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x10, msgidval=0x1810
1980-012-14:17:04.00069 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x62, msgidval=0x1862
1980-012-14:17:04.00070 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x10, msgidval=0x1810
1980-012-14:17:04.00070 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x62, msgidval=0x1862
1980-012-14:17:04.00070 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x60, msgidval=0x1860
1980-012-14:17:04.00071 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x60, msgidval=0x1860
1980-012-14:17:04.04025 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x85, msgidval=0x1885
1980-012-14:17:04.04029 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x85, msgidval=0x1885
1980-012-14:17:04.04029 CFE_MSG_GetMsgId: StreamId[0]=0x08, StreamId[1]=0x84, msgidval=0x0884
1980-012-14:17:04.18934 CFE_MSG_GetMsgId: StreamId[0]=0x18, StreamId[1]=0x0C, msgidval=0x180C
